
ModelBox: 512 models
-> -1.5024721977867*x**3 + 1.48723322745326*x**2 + 0.560915306990357*exp(0.160886258042228*x) - 0.531490964912826, p = 1.3045963161600003e-07, parse trees = 1, valid = True, error = 0.0006031095603623811, time = 239.89059901237488
-> -1.6208253750215*x**3 + 1.6922542150823*x**2 + 0.0385012304392083, p = 0.0002174510428501259, parse trees = 12, valid = True, error = 0.0006113024984649057, time = 23.887913942337036
-> -1.6214418334439*x**3 + 1.69281565027372*sqrt(x**4) + 0.0384807190228337, p = 3.6238786560000017e-07, parse trees = 1, valid = True, error = 0.0006113085300064199, time = 84.31776666641235
-> -1.63536834494012*x**3 + 1.69244865751648*x**2 + 1.63582846832465*exp(0.00872387841125398*x**3) - 1.59732566438019, p = 8.975240585885268e-12, parse trees = 1, valid = True, error = 0.0006113480569401499, time = 380.27586817741394
-> -0.0889008885959169*sqrt(x) - 0.510433449332356*x**4 + 0.715091469666543*x, p = 4.076863488e-06, parse trees = 1, valid = True, error = 0.0006125645217419643, time = 115.2153639793396
-> -1.13188126745736*x**3 + 2.99515237512395*x - 2.66541969252368 + 2.69319028317731*exp(-1.07831811445609*x), p = 1.4744338829829736e-06, parse trees = 2, valid = True, error = 0.0006195757761009231, time = 521.9528751373291
-> -0.485236529945268*x**4 + 0.606002961217017*x - 0.0141918003277116*exp(-1.5782984121329*x**2), p = 1.6307453952000003e-06, parse trees = 1, valid = True, error = 0.0006391118368280202, time = 69.68242859840393
-> -7.85281098109138 + 9.98849689459138*exp(-0.107374757225368*x**3) - 2.09453758115606*exp(-0.732526851727284*x**2), p = 3.271557120000001e-06, parse trees = 3, valid = True, error = 0.0006447930303908378, time = 602.4001162052155
-> -0.481763762463595*x**4 + 0.614023992388518*x - 0.0137561869278736, p = 0.00021733698125883644, parse trees = 17, valid = True, error = 0.0006461968335791192, time = 22.310081005096436
-> -0.481448427376357*x**4 + 0.613557828957735*sqrt(x**2) - 0.0135726979960009, p = 4.076863488e-06, parse trees = 1, valid = True, error = 0.0006461995439036535, time = 102.01241207122803
-> -0.481876465940117*x**4 + 0.613855464961207*x - 0.0138656946563011*exp(-0.0307649908323097*x), p = 4.0768634879999996e-06, parse trees = 1, valid = True, error = 0.0006462049988906211, time = 94.80046701431274
-> -0.756349926581564*x**5 + 0.777743222469921*x**2 + 0.0658855344007634, p = 4.470381920806503e-06, parse trees = 4, valid = True, error = 0.0006481628092046433, time = 24.165659427642822
-> 0.796468038671372*x**2 - 8.20238839409421 + 8.26709193659704*exp(-0.0978537477334237*x**5), p = 3.38151365148672e-08, parse trees = 1, valid = True, error = 0.0006539522387729218, time = 199.090496301651
-> -1.26672270869476*x**3 + 1.0772835050903*x**2 + 0.305282073370829*sqrt(x**2), p = 1.6307453952e-06, parse trees = 1, valid = True, error = 0.0006558988590851374, time = 92.71094298362732
-> -1.26689814756141*x**3 + 1.07776773514266*x**2 + 0.305028149606085*x, p = 3.711446059843585e-05, parse trees = 3, valid = True, error = 0.0006559028408448024, time = 27.890560388565063
-> -0.471692097917799*x**4 + 9.96470220453878 - 9.97932558963903*exp(-0.0625782397926605*x), p = 1.1659903792714877e-05, parse trees = 3, valid = True, error = 0.0006575174768819709, time = 279.3064913749695
-> 0.616695267041648*sqrt(x**2) - 9.99389557222165 + 9.97993370483955*exp(-0.0495501917422171*x**4), p = 3.9889958159490075e-13, parse trees = 1, valid = True, error = 0.0006738965335998376, time = 527.1837623119354
-> 0.582378660949071*x - 0.461174094740175*sqrt(x**8), p = 1.8119393280000007e-06, parse trees = 1, valid = True, error = 0.0006755098892512064, time = 26.26198124885559
-> -0.461136745750294*x**4 + 0.582355209981213*sqrt(x**2), p = 5.662310400000001e-05, parse trees = 2, valid = True, error = 0.000675509946605694, time = 50.59693884849548
-> -0.460991366953321*x**4 + 0.582256773100145*x, p = 0.000655355805696, parse trees = 3, valid = True, error = 0.0006755113054119074, time = 6.357922077178955
