t,x,y,z,dx,dy,dz
11.59,7.387414459499209,6.095309615245639,27.400285307806307,-12.906292110871975,-1.6772378905302254,-28.001214269442087
11.6,7.263972820273896,6.088587019717788,27.119452790400306,-11.741718236080434,0.29457143991851176,-28.055917371719197
11.61,7.1525800947776,6.101201044044009,26.839166960371923,-10.504076204073076,2.1882389975335315,-27.89867492350151
11.620000000000001,7.053891296192434,6.1323517996684584,26.561479291930276,-9.207896000606164,4.001246788789725,-27.542547491785285
11.63,6.968422174765477,6.1812259798198035,26.288316010536217,-7.866460744113679,5.733121389622697,-26.9994284166037
11.64,6.896562081310161,6.247014227460912,26.021490723598202,-6.491759982057754,7.3848357859858105,-26.279900713711868
11.65,6.838586975124322,6.32892269553952,25.76271799626198,-5.094502489675978,8.95825161343451,-25.39318230066634
11.66,6.794672031516641,6.426179259729603,25.513627077584875,-3.684178610012623,10.455610281967864,-24.347142967905455
11.67,6.7649034029240696,6.538034901178877,25.27577513690387,-2.269162557815063,11.879076676988243,-23.14837906585474
11.68,6.74928878036034,6.663760793269367,25.05065949626778,-0.8568458457361317,13.230335713286623,-21.8023348224607
11.69,6.747766486009347,6.802641615444609,24.839728440454657,0.5462060804493074,14.510239873549846,-20.313462199119314
11.700000000000001,6.760212901969326,6.953965590740364,24.644390252285394,1.9340809219596355,15.71850483248527,-18.68541399265027
11.71,6.78644810444854,7.117011712094315,24.46602016060165,3.3013363012440955,16.853450187386752,-16.921267332700296
11.72,6.826239627994208,7.291034594488099,24.305964905631388,4.64281138539433,17.911783026962834,-15.023776697748126
11.73,6.879304332156426,7.4752473726335715,24.16554462664669,5.953437868462963,18.88842342758967,-12.995657002583627
11.74,6.945308385363467,7.668803063039893,24.046051765579715,7.228054393510774,19.77637283783431,-10.839898133716552
11.75,7.023865420026642,7.870774829390258,23.948746663972358,8.461228305050694,20.566628571899635,-8.560112463982605
11.76,7.114532951464481,8.080135634477886,23.874849516300063,9.647088679144078,21.24815015051413,-6.160916293603158
11.77,7.216807193609523,8.29573783240054,23.825528338100295,10.779174875690734,21.80788585390756,-3.648344760787303
11.78,7.330116448978296,8.516293351556037,23.801882621084317,11.850305374295367,22.23087039964806,-1.0302974534285525
11.790000000000001,7.453813301095431,8.740355240393502,23.804922389031724,12.852472351924193,22.50040689287749,1.6829913433317856
